"il_kodu","city","long","lat","mean_iq","kutuphaneye_giden_cocuk_orani","ogretmen_basina_düsen_ortalama_ogrenci_sayisi(ilkokul, ortaokul, lise","akraba_evliligi_orani","okumus_orani","okumamis_orani"
"65",53,"Rize",41.02005,40.523449,102.32,0.193670231799928,11.67,1.57618213660245,0.14741301955227,0.0643165998275056
"66",54,"Sakarya",40.693997,30.435763,101.78,0.195601267967262,13.67,1.4428594851615,0.131322237876793,0.0388529601045031
"67",55,"Samsun",41.292782,36.33128,100.87,0.306487050448018,12.33,2.03873598369011,0.141766814470248,0.0678249571005819
"68",56,"Siirt",37.933333,41.95,94.52,0.209076175040519,15,12.3287671232877,0.0937022381973601,0.102760745461685
"69",57,"Sinop",42.02314,35.153069,100.29,0.69412089048177,11.67,1.5450643776824,0.124558809941791,0.0796452000369583
"70",58,"Sivas",39.747662,37.017879,100.09,0.428780531266308,11.67,2.88324293462746,0.133438383114034,0.0747614756663506
"71",63,"Şanlıurfa",37.159149,38.796909,98.07,0.12053700106523,19,15.0705072512197,0.0648555068511802,0.113293142768535
"72",73,"Şırnak",37.418748,42.491834,98.43,0.191854661609104,16.33,10.7008760951189,0.0789996318073795,0.089145384017465
"73",59,"Tekirdağ",40.983333,27.516667,102.82,0.204420174697929,16.67,2.61123518295825,0.131561931983738,0.0320156512328121
"74",60,"Tokat",40.316667,36.55,99.09,0.771489945870587,11.33,1.96193265007321,0.124212818698661,0.0826245565440796
"75",61,"Trabzon",41.00145,39.7178,103.37,0.263668216923757,11.67,2.0197486535009,0.160153762589281,0.0693865385065421
"76",62,"Tunceli",39.307355,39.438778,101.17,0.408214063472309,9.33,2.8169014084507,0.184533154368851,0.0850281030164304
"77",64,"Uşak",38.682301,29.40819,102.37,0.369999278308355,11.67,1.12460638776428,0.125719683948104,0.0510512054959898
"78",65,"Van",38.48914,43.40889,97.74,0.12014224139821,15.67,9.63630711843332,0.0816919593993781,0.111723055452598
"79",77,"Yalova",40.65,29.266667,102.58,0.312752912323728,13.33,2.96113510178902,0.154548089114291,0.0324687556602065
"80",66,"Yozgat",39.818081,34.81469,98.05,0.259753613161132,11.33,3.34667151691524,0.102905069256374,0.072329662725635
"81",67,"Zonguldak",41.456409,31.798731,102.68,0.270304090096016,12.33,1.52221186703945,0.125638527479516,0.0731135107340275
